filename,city,lat,long,prompt,beautiful,clean
52.410840_13.553244_513f2c2afdc9f0358700d80c_Berlin.JPG,Berlin,52.41084,13.553244,quiet treelined residential area weather appears sunny making pleasant day walk lined trees providing shade sense calm road empty no visible vehicles moment surrounding buildings wellmaintained likely homes small businesses clean wellkept indicating neighborhood takes pride appearance overall ambiance peaceful inviting community tranquility,1,1
40.018749_-75.084083_51422bb5fdc9f04926008a71_Philadelphia.JPG,Philadelphia,40.018749,-75.084083,quiet residential area weather appears cloudy mix sunlight shade lined trees providing pleasant natural atmosphere road empty no visible vehicles moment surrounding buildings old new giving sense history character clean wellmaintained contributing positive welcoming environment residents visitors overall conveys calm peaceful ambiance touch urban charm,0,1
52.543762_13.554746_513f2e3efdc9f0358700db98_Berlin.JPG,Berlin,52.543762,13.554746,quiet residential cloudy day lined houses trees creating peaceful serene atmosphere road appears good condition no visible signs damage obstruction vehicles giving calm empty feel buildings scene wellmaintained likely indicating wellestablished neighborhood clean free litter contributing pleasant ambiance presence along adds touch nature making like suburban rural area sky suggests weather might overcast cool not seem raining storming overall conveys sense tranquility peacefulness focus surroundings,1,0
60.161276_24.907661_5141343efdc9f049260045a9_Helsinki.JPG,Helsinki,60.161276,24.907661,captures large building featuring glass wall metal structure weather appears sunny clear skies good visibility relatively clean wellmaintained no noticeable debris litter vehicles visible giving impression quiet peaceful surrounding buildings modern wellconstructed adding overall ambiance area lined trees providing touch greenery shade combination streets presence creates pleasant inviting atmosphere people enjoy time outdoors,1,1
40.365273_-3.762365_51408c35fdc9f0358700eaa5_Madrid.JPG,Madrid,40.365273,-3.762365,quiet cars parked side road weather appears sunny making pleasant day outdoors lined trees providing touch greenery urban environment no visible good condition surrounding buildings tall made brick giving area sense history character clean wellmaintained indicating wellcaredfor neighborhood overall ambiance calm peaceful presence creating serene atmosphere,1,1
52.489725_13.533036_513f2bfffdc9f0358700d7c6_Berlin.JPG,Berlin,52.489725,13.533036,treelined calm peaceful atmosphere weather appears sunny pleasant making great day outdoor activities lined trees providing shade touch nature scene cars parked along person can seen walking sidewalk road good condition no visible obstructions debris surrounding buildings various types sizes adding diversity overall ambiance one quiet neighborhood mix natural elements urban features presence contribute sense tranquility relaxation enjoyable place walk drive,1,1
52.486098_13.367840_513f3313fdc9f0358700e10c_Berlin.JPG,Berlin,52.486098,13.36784,sunny day clear sky lined trees creating pleasant shaded environment two cars parked side road one closer foreground back appears wellmaintained no visible debris obstructions presence suggests area might residential commercial neighborhood buildings lining appear good condition signs damage neglect overall conveys calm inviting atmosphere mix natural elements urban infrastructure,1,2
50.125875_14.432087_50f5ed97fdc9f065f0008df4_Prague.JPG,Prague,50.125875,14.432087,calm pleasant atmosphere weather appears mild gentle breeze sky partly cloudy providing mix sunlight shade clean wellmaintained smooth surface easy walk surrounding several buildings including apartment complexes possibly commercial establishments varying heights architectural styles adding visual interest scene lined trees touch nature urban environment cars parked along bus near center people can seen walking standing sidewalk going daily activities also benches placed offering place rest enjoy surroundings overall portrays comfortable inviting elements natural features create residents alike,1,2
20.647201_-103.321343_5141368afdc9f04926004c7b_Guadalajara.JPG,Guadalajara,20.647201,-103.321343,pleasant wellmaintained urban environment weather appears sunny clear making great day walking spending time outdoors clean wellorganized path walk cars parked driving along traffic light safe comfortable area buildings surrounding various types sizes appearing older traditional others seem modern recently constructed several trees lining sidewalk providing shade touch greenery landscape overall ambiance one inviting city people can enjoy leisurely stroll quick destination,0,1
29.703300_-95.289635_513d2cf2fdc9f0358700247d_Houston.JPG,Houston,29.7033,-95.289635,large apartment complex motel background weather appears sunny clear blue sky clean wellmaintained sidewalk one side no visible vehicles scene giving area calm peaceful ambiance surrounding natural features include trees lining adding greenery urban environment buildings similar style possibly indicating uniform architectural design overall presents pleasant inviting enjoy,1,1
42.339821_-71.101290_513d6c18fdc9f03587004ea6_Boston.JPG,Boston,42.339821,-71.10129,quiet treelined sidewalk weather appears sunny pleasant making day walking lined trees providing shade sense calmness no visible cars parked along buildings wellmaintained contribute overall clean organized appearance area good condition signs damage debris ambiance peaceful inviting enjoyable place walk spend time outdoors,0,2
