epoch,accuracy,loss,val_accuracy,val_loss
0,0.4909909963607788,1.746914029121399,0.655339777469635,1.422874093055725
1,0.5164587497711182,1.1232810020446777,0.291262149810791,1.1925309896469116
2,0.5389813184738159,1.036336898803711,0.23907767236232758,1.3094111680984497
3,0.5438323020935059,1.0553685426712036,0.6577669978141785,0.9138299226760864
4,0.5684338212013245,0.9916616678237915,0.6395630836486816,0.9069732427597046
5,0.5767498016357422,0.9547834992408752,0.6480582356452942,0.9159258604049683
6,0.5985793471336365,0.9310288429260254,0.4502427279949188,1.0254247188568115
7,0.5758835673332214,0.9440336227416992,0.6310679316520691,0.9220456480979919
8,0.5791753530502319,0.9325478076934814,0.6419903039932251,0.9080672264099121
9,0.6018710732460022,0.9120432138442993,0.6541262269020081,0.9083420634269714
