epoch,accuracy,loss,val_accuracy,val_loss
0,0.5255997776985168,0.9585221409797668,0.49487704038619995,0.7983002662658691
1,0.5370099544525146,0.7984912991523743,0.5430327653884888,0.7983827590942383
2,0.5430076122283936,0.7928077578544617,0.5430327653884888,0.8055582046508789
3,0.54754239320755,0.7899534106254578,0.5430327653884888,0.7911733984947205
4,0.5438852906227112,0.7870107293128967,0.5430327653884888,0.8012334108352661
5,0.5449092984199524,0.7864741086959839,0.5430327653884888,0.7948063611984253
6,0.5488590002059937,0.7837550640106201,0.5430327653884888,0.8040232062339783
7,0.5466647148132324,0.7844223380088806,0.5430327653884888,0.7957040071487427
8,0.5548566579818726,0.7859971523284912,0.5430327653884888,0.7918989658355713
9,0.5551491975784302,0.7843418121337891,0.5430327653884888,0.7920225262641907
10,0.5551491975784302,0.7844390273094177,0.5430327653884888,0.7916396856307983
11,0.5551491975784302,0.7840306758880615,0.5430327653884888,0.7911359071731567
12,0.5551491975784302,0.7842663526535034,0.5430327653884888,0.7914534211158752
13,0.5551491975784302,0.7845520377159119,0.5430327653884888,0.7914539575576782
14,0.5551491975784302,0.7841240167617798,0.5430327653884888,0.7925893664360046
15,0.5551491975784302,0.7843043804168701,0.5430327653884888,0.7910610437393188
16,0.5551491975784302,0.7841423749923706,0.5430327653884888,0.7917947173118591
17,0.5551491975784302,0.7842352390289307,0.5430327653884888,0.7924126982688904
18,0.5551491975784302,0.7844421863555908,0.5430327653884888,0.7911205887794495
19,0.5551491975784302,0.7841576337814331,0.5430327653884888,0.7916030883789062
20,0.5551491975784302,0.784139096736908,0.5430327653884888,0.791176974773407
21,0.5551491975784302,0.7841495275497437,0.5430327653884888,0.7922024726867676
22,0.5551491975784302,0.7842611074447632,0.5430327653884888,0.7915777564048767
23,0.5551491975784302,0.7840458750724792,0.5430327653884888,0.792833149433136
24,0.5551491975784302,0.7841044664382935,0.5430327653884888,0.7924923896789551
25,0.5551491975784302,0.7837982773780823,0.5430327653884888,0.7912384867668152
