filename,city,lat,long,beautiful,clean
52.410840_13.553244_513f2c2afdc9f0358700d80c_Berlin.JPG,Berlin,52.41084,13.553244,1,1
40.018749_-75.084083_51422bb5fdc9f04926008a71_Philadelphia.JPG,Philadelphia,40.018749,-75.084083,0,1
52.543762_13.554746_513f2e3efdc9f0358700db98_Berlin.JPG,Berlin,52.543762,13.554746,1,0
60.161276_24.907661_5141343efdc9f049260045a9_Helsinki.JPG,Helsinki,60.161276,24.907661,1,1
40.365273_-3.762365_51408c35fdc9f0358700eaa5_Madrid.JPG,Madrid,40.365273,-3.762365,1,1
52.489725_13.533036_513f2bfffdc9f0358700d7c6_Berlin.JPG,Berlin,52.489725,13.533036,1,1
52.486098_13.367840_513f3313fdc9f0358700e10c_Berlin.JPG,Berlin,52.486098,13.36784,1,2
50.125875_14.432087_50f5ed97fdc9f065f0008df4_Prague.JPG,Prague,50.125875,14.432087,1,2
20.647201_-103.321343_5141368afdc9f04926004c7b_Guadalajara.JPG,Guadalajara,20.647201,-103.321343,0,1
29.703300_-95.289635_513d2cf2fdc9f0358700247d_Houston.JPG,Houston,29.7033,-95.289635,1,1
42.339821_-71.101290_513d6c18fdc9f03587004ea6_Boston.JPG,Boston,42.339821,-71.10129,0,2
42.362369_-71.124712_513d6791fdc9f035870040ea_Boston.JPG,Boston,42.362369,-71.124712,0,1
48.853958_2.332691_513e5e00fdc9f0358700af52_Paris.JPG,Paris,48.853958,2.332691,0,1
48.861668_2.351613_513e62c3fdc9f0358700b740_Paris.JPG,Paris,48.861668,2.351613,1,1
45.453600_-73.567853_5185ce6afdc9f03fd5000e23_Montreal.JPG,Montreal,45.4536,-73.567853,1,1
48.098891_11.661803_51421880fdc9f0492600814a_Munich.JPG,Munich,48.098891,11.661803,1,1
-37.737682_144.966146_514148f9fdc9f04926006d66_Melbourne.JPG,Melbourne,-37.737682,144.966146,1,1
55.739841_37.705967_513e1b71fdc9f03587009496_Moscow.JPG,Moscow,55.739841,37.705967,1,1
